hhid,child_sex,child_age,home_language,stories_songs,read,confident,how_well_demands,primary_cg_ed,ACE,state
17000257,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,Kentucky
17000277,Male,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Hawaii
17000279,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Hawaii
17001318,Male,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Georgia
17001676,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,South Dakota
17001796,Female,5,English,Every day,4-6 days,Completely confident,Very well,Bachelor’s Degree,1,Oklahoma
17001912,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Ohio
17002071,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,California
17002180,Female,5,English,1-3 days,Every day,Completely confident,Very well,Associate Degree,1,Wisconsin
17002830,Female,5,English,Every day,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Nebraska
17003154,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Associate Degree,Exp 1 ACE,Alabama
17003179,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Tennessee
17003323,Male,5,English,Every day,Every day,Somewhat confident,Very well,Doctorate,1,Oregon
17003468,Female,5,English,Every day,Every day,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Colorado
17003472,Male,5,English,4-6 days,1-3 days,Completely confident,Very well,Master’s Degree,Exp 2 ACE,Ohio
17003569,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Washington
17003639,Male,5,English,Every day,Every day,Completely confident,Very well,Associate Degree,1,Maryland
17003662,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Mississippi
17003728,Male,5,English,1-3 days,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Maine
17004202,Male,5,English,Every day,1-3 days,Mostly confident,Somewhat well,Bachelor’s Degree,Exp 1 ACE,Arizona
17004315,Male,5,English,Every day,Every day,Completely confident,Very well,"Some College Credit, no Degree",1,Arizona
17004791,Female,5,Other,1-3 days,1-3 days,Mostly confident,Very well,Master’s Degree,1,Arizona
17004880,Male,5,English,4-6 days,Every day,Completely confident,Somewhat well,Doctorate,1,New Hampshire
17004982,Male,5,English,Every day,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Idaho
17005090,Male,5,English,0 days,4-6 days,Completely confident,Very well,Doctorate,1,New Hampshire
17005233,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Bachelor’s Degree,1,Rhode Island
17005410,Female,5,English,Every day,Every day,Completely confident,Very well,Doctorate,1,Colorado
17006282,Female,5,Other,4-6 days,1-3 days,Completely confident,Very well,Master’s Degree,Exp 1 ACE,Virginia
17006537,Male,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,"Vocational, trade, or business school program",1,Iowa
17006726,Female,5,English,1-3 days,1-3 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Iowa
17006729,Female,5,English,4-6 days,4-6 days,Completely confident,Very well,Master’s Degree,1,Nebraska
17006730,Male,5,English,4-6 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Nebraska
17006788,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Georgia
17007235,Female,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,Nebraska
17007522,Male,5,English,Every day,Every day,Completely confident,Very well,9th-12th grade; No diploma,Exp 1 ACE,Mississippi
17007540,Female,5,English,Every day,1-3 days,Completely confident,Somewhat well,Associate Degree,1,West Virginia
17007555,Female,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,California
17008080,Male,5,English,4-6 days,1-3 days,Completely confident,Somewhat well,Associate Degree,Exp 2 ACE,Colorado
17008240,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Kentucky
17008884,Male,5,English,Every day,Every day,Completely confident,Very well,Bachelor’s Degree,1,South Carolina
17008945,Male,5,English,Every day,4-6 days,Completely confident,Very well,"Some College Credit, no Degree",1,Colorado
17009054,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,Associate Degree,1,Minnesota
17009342,Female,5,English,1-3 days,1-3 days,Completely confident,Very well,"Vocational, trade, or business school program",1,Oklahoma
17009529,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",1,Texas
17009870,Male,5,English,1-3 days,Every day,Completely confident,Very well,Bachelor’s Degree,1,Alaska
17009897,Female,5,English,4-6 days,4-6 days,Completely confident,Somewhat well,"Some College Credit, no Degree",1,Alaska
17010105,Male,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Master’s Degree,1,New Jersey
17010750,Female,5,English,Every day,Every day,Completely confident,Somewhat well,"Some College Credit, no Degree",Exp 1 ACE,Michigan
17011157,Female,5,English,4-6 days,Every day,Completely confident,Very well,Master’s Degree,1,Hawaii
17011316,Female,5,English,1-3 days,4-6 days,Completely confident,Somewhat well,Bachelor’s Degree,1,Hawaii
17011890,Male,5,English,1-3 days,Every day,Mostly confident,Somewhat well,"Some College Credit, no Degree",1,Ohio
17011912,Male,5,English,1-3 days,1-3 days,Completely confident,Very well,"Some College Credit, no Degree",Exp 2 ACE,Kentucky
